No. Gen 1 Pokémon (Kanto No.001–No.151)
No. Format: Creature: No.XXX Name | Type: TYPE or TYPE/TYPE | HP: xx | ATK: xx | DEF: xx | SP.ATK: xx | SP.DEF: xx | SPD: xx
Creature: No.001 Bulbasaur | Type: Grass/Poison | HP: 45 | ATK: 49 | DEF: 49 | SP.ATK: 65 | SP.DEF: 65 | SPD: 45
Creature: No.002 Ivysaur | Type: Grass/Poison | HP: 60 | ATK: 62 | DEF: 63 | SP.ATK: 80 | SP.DEF: 80 | SPD: 60
Creature: No.003 Venusaur | Type: Grass/Poison | HP: 80 | ATK: 82 | DEF: 83 | SP.ATK: 100 | SP.DEF: 100 | SPD: 80
Creature: No.004 Charmander | Type: Fire | HP: 39 | ATK: 52 | DEF: 43 | SP.ATK: 60 | SP.DEF: 50 | SPD: 65
Creature: No.005 Charmeleon | Type: Fire | HP: 58 | ATK: 64 | DEF: 58 | SP.ATK: 80 | SP.DEF: 65 | SPD: 80
Creature: No.006 Charizard | Type: Fire/Flying | HP: 78 | ATK: 84 | DEF: 78 | SP.ATK: 109 | SP.DEF: 85 | SPD: 100
Creature: No.007 Squirtle | Type: Water | HP: 44 | ATK: 48 | DEF: 65 | SP.ATK: 50 | SP.DEF: 64 | SPD: 43
Creature: No.008 Wartortle | Type: Water | HP: 59 | ATK: 63 | DEF: 80 | SP.ATK: 65 | SP.DEF: 80 | SPD: 58
Creature: No.009 Blastoise | Type: Water | HP: 79 | ATK: 83 | DEF: 100 | SP.ATK: 85 | SP.DEF: 105 | SPD: 78
Creature: No.010 Caterpie | Type: Bug | HP: 45 | ATK: 30 | DEF: 35 | SP.ATK: 20 | SP.DEF: 20 | SPD: 45
Creature: No.011 Metapod | Type: Bug | HP: 50 | ATK: 20 | DEF: 55 | SP.ATK: 25 | SP.DEF: 25 | SPD: 30
Creature: No.012 Butterfree | Type: Bug/Flying | HP: 60 | ATK: 45 | DEF: 50 | SP.ATK: 90 | SP.DEF: 80 | SPD: 70
Creature: No.013 Weedle | Type: Bug/Poison | HP: 40 | ATK: 35 | DEF: 30 | SP.ATK: 20 | SP.DEF: 20 | SPD: 50
Creature: No.014 Kakuna | Type: Bug/Poison | HP: 45 | ATK: 25 | DEF: 50 | SP.ATK: 25 | SP.DEF: 25 | SPD: 35
Creature: No.015 Beedrill | Type: Bug/Poison | HP: 65 | ATK: 90 | DEF: 40 | SP.ATK: 45 | SP.DEF: 80 | SPD: 75
Creature: No.016 Pidgey | Type: Normal/Flying | HP: 40 | ATK: 45 | DEF: 40 | SP.ATK: 35 | SP.DEF: 35 | SPD: 56
Creature: No.017 Pidgeotto | Type: Normal/Flying | HP: 63 | ATK: 60 | DEF: 55 | SP.ATK: 50 | SP.DEF: 50 | SPD: 71
Creature: No.018 Pidgeot | Type: Normal/Flying | HP: 83 | ATK: 80 | DEF: 75 | SP.ATK: 70 | SP.DEF: 70 | SPD: 91
Creature: No.019 Rattata | Type: Normal | HP: 30 | ATK: 56 | DEF: 35 | SP.ATK: 25 | SP.DEF: 35 | SPD: 72
Creature: No.020 Raticate | Type: Normal | HP: 55 | ATK: 81 | DEF: 60 | SP.ATK: 50 | SP.DEF: 70 | SPD: 97
Creature: No.021 Spearow | Type: Normal/Flying | HP: 40 | ATK: 60 | DEF: 30 | SP.ATK: 31 | SP.DEF: 31 | SPD: 70
Creature: No.022 Fearow | Type: Normal/Flying | HP: 65 | ATK: 90 | DEF: 65 | SP.ATK: 61 | SP.DEF: 61 | SPD: 100
Creature: No.023 Ekans | Type: Poison | HP: 35 | ATK: 60 | DEF: 44 | SP.ATK: 40 | SP.DEF: 54 | SPD: 55
Creature: No.024 Arbok | Type: Poison | HP: 60 | ATK: 95 | DEF: 69 | SP.ATK: 65 | SP.DEF: 79 | SPD: 80
Creature: No.025 Pikachu | Type: Electric | HP: 35 | ATK: 55 | DEF: 40 | SP.ATK: 50 | SP.DEF: 50 | SPD: 90
Creature: No.026 Raichu | Type: Electric | HP: 60 | ATK: 90 | DEF: 55 | SP.ATK: 90 | SP.DEF: 80 | SPD: 110
Creature: No.027 Sandshrew | Type: Ground | HP: 50 | ATK: 75 | DEF: 85 | SP.ATK: 20 | SP.DEF: 30 | SPD: 40
Creature: No.028 Sandslash | Type: Ground | HP: 75 | ATK: 100 | DEF: 110 | SP.ATK: 45 | SP.DEF: 55 | SPD: 65
Creature: No.029 Nidoran♀ | Type: Poison | HP: 55 | ATK: 47 | DEF: 52 | SP.ATK: 40 | SP.DEF: 40 | SPD: 41
Creature: No.030 Nidorina | Type: Poison | HP: 70 | ATK: 62 | DEF: 67 | SP.ATK: 55 | SP.DEF: 55 | SPD: 56
Creature: No.031 Nidoqueen | Type: Poison/Ground | HP: 90 | ATK: 92 | DEF: 87 | SP.ATK: 75 | SP.DEF: 85 | SPD: 76
Creature: No.032 Nidoran♂ | Type: Poison | HP: 46 | ATK: 57 | DEF: 40 | SP.ATK: 40 | SP.DEF: 40 | SPD: 50
Creature: No.033 Nidorino | Type: Poison | HP: 61 | ATK: 72 | DEF: 57 | SP.ATK: 55 | SP.DEF: 55 | SPD: 65
Creature: No.034 Nidoking | Type: Poison/Ground | HP: 81 | ATK: 102 | DEF: 77 | SP.ATK: 85 | SP.DEF: 75 | SPD: 85
Creature: No.035 Clefairy | Type: Fairy | HP: 70 | ATK: 45 | DEF: 48 | SP.ATK: 60 | SP.DEF: 65 | SPD: 35
Creature: No.036 Clefable | Type: Fairy | HP: 95 | ATK: 70 | DEF: 73 | SP.ATK: 95 | SP.DEF: 90 | SPD: 60
Creature: No.037 Vulpix | Type: Fire | HP: 38 | ATK: 41 | DEF: 40 | SP.ATK: 50 | SP.DEF: 65 | SPD: 65
Creature: No.038 Ninetales | Type: Fire | HP: 73 | ATK: 76 | DEF: 75 | SP.ATK: 81 | SP.DEF: 100 | SPD: 100
Creature: No.039 Jigglypuff | Type: Normal/Fairy | HP: 115 | ATK: 45 | DEF: 20 | SP.ATK: 45 | SP.DEF: 25 | SPD: 20
Creature: No.040 Wigglytuff | Type: Normal/Fairy | HP: 140 | ATK: 70 | DEF: 45 | SP.ATK: 85 | SP.DEF: 50 | SPD: 45
Creature: No.041 Zubat | Type: Poison/Flying | HP: 40 | ATK: 45 | DEF: 35 | SP.ATK: 30 | SP.DEF: 40 | SPD: 55
Creature: No.042 Golbat | Type: Poison/Flying | HP: 75 | ATK: 80 | DEF: 70 | SP.ATK: 65 | SP.DEF: 75 | SPD: 90
Creature: No.043 Oddish | Type: Grass/Poison | HP: 45 | ATK: 50 | DEF: 55 | SP.ATK: 75 | SP.DEF: 65 | SPD: 30
